Journal Title,Publisher,ISSN,ISSN Online,Year Inception,Web Address,Field of Research,ABDC Rating 
Advances in Management Accounting,Emerald Group Publishing,1474-7871	,	,1992	,http://www.emeraldinsight.com/doi/book/10.1108/S1474-7871(2012)21,1501	,B 
Advances in Public Interest Accounting,Emerald Group Publishing,1041-7060	,	,1986	,http://www.emeraldinsight.com/doi/book/10.1016/S1041-7060(2001)8,1501	,C 
Advances in Quantitative Analysis of Finance and Accounting,Emerald Group Publishing,1061-8910	,	,1991	,http://www.worldcat.org/title/advances-in-quantitative-analysis-of-finance-and-accounting/oclc/23892612,1502	,B 
Advances in Strategic Management,Emerald Group Publishing,0742-3322	,0742-3322	,1983	,http://www.elsevier.com/,1503	,C 
Advances in Taxation,Emerald Group Publishing,1058-7497	,	,1987	,http://www.emeraldinsight.com/doi/book/10.1016/S1058-7497(2001)13,180125	,B 
Advancing Women in Leadership,Texas A&M University,1093-7099	,1093-7099	,1997	,http://www.advancingwomen.com/awl/awl.html,1503	,C 
Advertising and Society Review,Johns Hopkins University Press,1534-7311	,	,2000	,http://muse.jhu.edu/journal/18,1505	,C 
Afaq Iqtisadiyyah,"Ittih#_x0003_a_x0004__x0003_d Ghuraf al-Tija_x0004__x0003_rah wa-al-S#_x0003_ina_x0004__x0003_»_x0002_ah fi_x0004__x0003_ Dawlat al-Ima_x0004__x0003_ra_x0004__x0003_t al-»_x0002_Arabi_x0004__x0003_yah al-Muttah#_x0003_idah, Qism al-Dira_x0004__x0003_sa_x0004__x0003_t wa-al-Buh#_x0003_u_x0004__x0003_th",1024-266X	,	,1980	,,1402	,C 
Africa Development/Afrique et Developpement,Council for the Development of Economic and Social Research in Africa,0850-3907	,	,1976	,http://www.ajol.info/index.php/ad,1499	,C 
African Development Review,"John Wiley & Sons, Inc.",1017-6772	,1467-8268	,1989	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-AFDR.html,1499	,C 
African Economic History,University of Wisconsin-Madison,0145-2258	,	,1974	,http://africa.wisc.edu/publications/aeh/index.htm,1402	,C 
"African Journal of Accounting, Auditing and Finance",Inderscience Enterprises Ltd. ,2046-8083	,2046-8091	,	,http://www.inderscience.com/jhome.php?jcode=ajaaf#issue,1501	,C 
"African Journal of Accounting, Economics, Finance and Banking Research",Global Business Investments and Publications,1933-3404	,1933-3463	,2007	,http://globip.com/africanjournal.htm,1502	,C 
African Journal of Agricultural and Resource Economics,African Association of Agricultural Economists,1993-3738	,	,2006	,http://www.afjare.org/,1402	,B 
African Journal of Business and Economic Research,Adonis and Abbey Publishers Ltd,1750-4554	,1750-4562	,2006	,http://adonisandabbey.com/,1402	,C 
African Journal of Economic and Management Studies,Emerald Group Publishing,2040-0705	,2040-0713	,2010	,http://www.emeraldinsight.com/journals.htm?issn=2040-0705,1503	,C 
African Journal of Economic and Sustainable Development,Inderscience Enterprises Ltd.,2046-4770	,2046-4789	,2012	,http://www.inderscience.com/jhome.php?jcode=ajesd,1402	,C 
African Population Studies,Stellenbosh University ,0850-5780	,2308-7854	,	,http://aps.journals.ac.za/pub,1503	,C 
Afrika Spectrum: Zeitschrift fuer gegenwartsbezogene Afrikaforschung,Leibniz-Institut für Globale und Regionale Studien,0002-0397	,	,1966	,http://hup.sub.uni-hamburg.de/giga/afsp,1402	,C 
Afro-Asian Journal of Finance and Accounting,Inderscience Enterprises Ltd.,1751-6447	,1751-6455	,2008	,http://www.inderscience.com/,1502	,C 
AgBioForum,AgBioForum,1522-936X	,	,1998	,http://www.agbioforum.org/,1402	,C 
Agenda: a journal of policy analysis and reform,Australian National University ,1322-1833	,1447-4735	,1994	,http://agenda.anu.edu.au/,1402	,B 
Agribusiness (New York): an international journal,"John Wiley & Sons, Inc.",0742-4477	,1520-6297	,1984	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-AGR.html,1599	,C 
Agricultural and Resource Economics Review,Northeastern Agricultural and Resource Economics Association,1068-2805	,	,1972	,http://www.narea.org/journal.htm,1402	,B 
