Journal Title,Publisher,ISSN,ISSN Online,Year Inception,Web Address,Field of Research,ABDC Rating 
International Small Business Journal,Sage Publications,0266-2426	,1741-2870	,1982	,http://isb.sagepub.com/,1503	,A 
International Social Science Journal,"John Wiley & Sons, Inc.",0020-8701	,1468-2451	,1949	,https://authorservices.wiley.com/bauthor/Aims_scope.asp?ref=0020-8701&site=1,1503	,B 
International Statistical Review,"John Wiley & Sons, Inc.",0306-7734	,1751-5823	,1920	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-INSR.html,104	,A 
International Studies in Economics and Econometrics,Springer International Publishing,0924-5170	,	,1969	,http://www.springer.com/series/6147,1403	,B 
International Studies of Management and Organization,Taylor & Francis Online,0020-8825	,1558-0911	,1971	,http://www.tandfonline.com/mimo,1503	,B 
International Studies Quarterly,"John Wiley & Sons, Inc.",0020-8833	,1468-2478	,1957	,http://www.wiley.com/bw/journal.asp?ref=0020-8833,1599	,A 
International Tax and Public Finance,Springer International Publishing,0927-5940	,1573-6970	,1993	,http://www.springerlink.com/,180125	,B 
International Tax Journal,Panel Publishers ,0097-7314	,	,1974	,http://onlinestore.cch.com/,180125	,C 
International Tax Review,Euromoney Institutional Investor PLC,0958-7594	,	,1989	,http://www.internationaltaxreview.com/,180125	,C 
International Technology Management Review,Atlantis Press,2213-7149	,1835-5269	,2007	,http://www.atlantis-press.com/publications/itmr/,1503	,C 
International Trade Journal,Taylor & Francis Online,0885-3908	,1521-0545	,1986	,http://www.tandfonline.com/uitj,1402	,B 
International Transactions in Operational Research,"John Wiley & Sons, Inc.",0969-6016	,1475-3995	,1994	,http://www.wiley.com/bw/journal.asp?ref=0969-6016,1503	,B 
International Transfer Pricing Journal,International Bureau of Fiscal Documentation,1385-3074	,	,1993	,http://www.ibfd.org/,180125	,C 
International VAT Monitor,International Bureau of Fiscal Documentation,0925-0832	,	,1990	,http://www.ibfd.org/,180125	,B 
"Internet Research: Electronic Networking, Applications and Policy",Emerald Group Publishing,1066-2243	,	,1991	,http://www.emeraldinsight.com/loi/intr,806	,A 
Intertax: International Tax Review,Kluwer Law International ,0165-2826	,1875-8347	,1971	,http://www.kluwerlawonline.com/,180125	,C 
INTERVENTION: European Journal of Economics and Economics Policies,Metropolis-Verlag,1613-0960	,	,2004	,http://www.metropolis-publisher.com/,1402	,C 
Investment Management and Financial Innovations,Business Perspectives,1810-4967	,1812-9358	,2004	,"http://businessperspectives.org/component/option,com_journals/task,journal/id,4/Itemid,74/
",1502	,C 
Investment Policy,Publication Integrity & Ethics,1096-3375	,	,1997	,http://www.integrity-ethics.com/journal/101055,1502	,C 
Irish Accounting Review,Irish Accounting and Finance Association,0791-9638	,	,1994	,http://ie.vlex.com/source/irish-accounting-review-3667/issue_nbr/%2316%231,1501	,C 
Irish Banking Review,,0021-1060	,	,1957	,,1502	,C 
Irish Journal of Management,Walter de Gruyter GmbH,1649-248X	,1649-248X	,1979	,http://iamireland.ie/journal,1503	,C 
Irish Marketing Review,University of Strathclyde,0790-7362	,	,1986	,https://pure.strath.ac.uk/portal/en/journals/irish-marketing-review(476c0d44-6f79-475a-ae0e-e4631b73b77c).html,1505	,C 
ISEAS Current Economic Affairs Series,Institute of Southeast Asian Studies,0218-2114	,	,1991	,,1402	,C 
Islamic Economic Studies,Islamic Research and Training Institute,1319-1616	,	,	,http://iesjournal.org/english/home.html,1499	,C 
Issues in Accounting Education,American Accounting Association,0739-3172	,1558-7983	,1983	,http://aaajournals.org/loi/iace,1501	,A 
Issues in Social and Environmental Accounting: An International Journal,Sebelas Maret University,	,1978-0591	,2007	,http://www.iiste.org/Journals/index.php/ISEA/index,1501	,C 
IT and Society: An Online Journal,Taylor & Francis Online,	,	,	,,806	,C 
Italian Journal of Regional Science,"AISRe-E Publishing, Regional Science Association International",1720-3929	,	,2002	,http://www.grupposervizioambiente.it/rivistasr/inglese/index.asp,1503	,C 
ITE Journal,Institute of Transportation Engineers,0162-8178	,	,	,http://www.ite.org/,1507	,C 
IZA Journal of Labor Economics,SpringerOpen,2193-8997	,	,2012	,http://izajole.iza.org/,1402	,A 
IZA Journals,Springer Verlag,	,	,	,http://www.iza.org/en/webcontent/journals/izajournals/izajournals_html,1402	,C 
Jahrbuch fuer Wirtschaftswissenschaften: review of economics,Lucius und Lucius Verlagsgesellschaft mbH,0948-5139	,	,1950	,http://www.proquest.co.uk/en-UK/,1402	,C 
Japan and the World Economy,Elsevier ,0922-1425	,	,1988	,http://www.journals.elsevier.com/japan-and-the-world-economy,1402	,B 
Japan Labor Review,International Association of Labour Law Journals,1348-9364	,	,2004	,http://www.jil.go.jp/,1503	,C 
Japanese Economic Review,"John Wiley & Sons, Inc.",1352-4739	,1468-5876	,1950	,https://authorservices.wiley.com/bauthor/Aims_scope.asp?ref=1352-4739&site=1,1402	,B 
JASSA: The Finsia Journal of Applied Finance,Financial Services Institute of Australasia,0313-5934	,	,1966	,http://www.finsia.com/insights/jassa-home,1502	,B 
JEI: Journal of Economic Issues,"Taylor & Francis, Inc - Association for Evolutionary Economics",0021-3624	,1946-326X	,	,http://www.tandfonline.com/mjei,1402	,B 
Journal for Advancement of Marketing Education (JAME),Marketing Management Association,2326-3296	,1537-5137	,2001	,www.mmaglobal.org/publications/JAME.html,1505	,C 
Journal for Global Business Advancement,Inderscience Enterprises Ltd.,1746-966X	,1746-9678	,2007	,http://www.inderscience.com/,1503	,C 
Journal for International Business and Entrepreneurship Development,Inderscience Enterprises Ltd.,1549-9324	,1747-6763	,2003	,http://www.inderscience.com/,1503	,C 
Journal for Quality and Participation,American Society for Quality ,1040-9602	,1931-4019	,1978	,http://www.asq.org/pub/jqp/,1503	,C 
Journal of Aboriginal Economic Development,Council for the Advancement of Native Development Officers (CANDO) and Captus Press Inc.,1481-9112	,1481-9120	,1999	,http://www.edo.ca/edo-tools/jaed,1402	,C 
Journal of Academy of Business and Economics,International Academy of Business and Economics,1542-8710	,"2378-8631

	",2003	,http://www.iabe.org/domains/iabeX/journalinfo.aspx?JournalID=JABE,1402	,C 
Journal of Accountancy,American Institute of Certified Public Accountants,0021-8448	,1945-0729	,1905	,http://www.journalofaccountancy.com/,1501	,C 
Journal of Accounting and Economics,Elsevier,0165-4101	,	,1979	,http://www.journals.elsevier.com/journal-of-accounting-and-economics,1501	,A* 
Journal of Accounting and Management Information Systems (JAMIS),Bucharest University of Economic Studies ,1583-4387	,	,2002	,http://www.journals.elsevier.com/international-journal-of-accounting-information-systems/,1501	,C 
Journal of Accounting and Organizational Change,,1832-5912	,	,2005	,http://www.emeraldinsight.com/loi/jaoc,1501	,B 
Journal of Accounting and Public Policy,Elsevier,0278-4254	,1873-2070	,1982	,http://www.journals.elsevier.com/journal-of-accounting-and-public-policy,1501	,A 
Journal of Accounting Auditing and Finance,Sage Publications ,0148-558X	,	,1977	,http://jaf.sagepub.com,1501	,A 
Journal of Accounting Education,Elsevier,0748-5751	,1873-1996	,1982	,http://www.journals.elsevier.com/journal-of-accounting-education,1501	,B 
Journal of Accounting in Emerging Economies,,2042-1168	,	,2011	,http://www.emeraldinsight.com/loi/jaee,1501	,C 
Journal of Accounting Literature,Elsevier,0737-4607	,	,1982	,https://www.elsevier.com/journals/journal-of-accounting-literature/0737-4607/order-journal,1501	,A 
Journal of Accounting Research,"John Wiley & Sons, Inc. ",0021-8456	,1475-679X	,1963	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-IRFI.html,1501	,A* 
"Journal of Accounting, Business and Management",Malang Sekolah Tinggi Ilmu Ekonomi Malangkucecwara,0216-423X	,	,1994	,http://jabm.stie-mce.ac.id/?page=international,1501	,C 
"Journal of Accounting, Ethics and Public Policy",Dumont Institute for Public Policy Research,1089-652X	,	,1999	,http://www.jaepp.org/,1501	,C 
Journal of Actuarial Practice (discontinued),Absalom Press,1064-6647	,	,1993	,http://www.jofap.org/,1502	,C 
Journal of Administration and Governance,"Monash University, Department of Management",1834-352X	,1834-3511	,2006	,http://www.joaag.com/,1503	,C 
Journal of Advanced Transportation,"John Wiley & Sons, Inc.",0197-6729	,	,	,http://www.wiley.com/bw/journal.asp?ref=0197-6729,1507	,A 
Journal of Advertising,Taylor & Francis Online,0091-3367	,1557-7805	,1972	,http://www.ebscohost.com/,1505	,A 
Journal of Advertising Education,Association for Education in Journalism and Mass Communication (AEJMC),1098-0482	,1098-0482	,	,,1505	,C 
Journal of Advertising Research,Cambridge University Press,0021-8499	,1740-1909	,1960	,http://journals.cambridge.org/action/displayJournal?jid=JAR,1505	,A 
Journal of African Business,Taylor & Francis Online,1522-8916	,1522-9076	,1999	,http://www.tandfonline.com/wjab,1503	,C 
Journal of African Development,Vrije Universiteit Brussel,1060-6076	,	,1992	,http://www.afea-jad.com/,1402	,C 
Journal of African Economies,Oxford University Press ,0963-8024	,1464-3723	,1992	,http://jae.oxfordjournals.org/,1402	,A 
Journal of Agribusiness in Developing and Emerging Economies,Emerald Group Publishing,2044-0839	,	,2011	,http://www.emeraldinsight.com/products/journals/journals.htm?id=jadee,1499	,C 
Journal of Agricultural and Applied Economics,Southern Agricultural Economics Association,1074-0708	,	,1969	,http://research-repository.uwa.edu.au/en/publications/the-economics-of-global-consumption-patterns(59a669bb-8964-4a94-b3a4-fff4d65d5431)/export.html,1402	,C 
Journal of Agricultural and Food Industrial Organization,De Gruyter,1542-0485	,	,2002	,http://www.degruyter.com/view/j/jafio,1402	,C 
Journal of Agricultural and Resource Economics,Western Agricultural Economics Association,1068-5502	,	,1976	,http://www.waeaonline.org/publications/jare,1499	,A 
Journal of Agricultural Economics,"John Wiley & Sons, Inc.",0021-857X	,1477-9552	,1928	,http://www.wiley.com/bw/journal.asp?ref=0021-857x,1402	,A 
"Journal of Agricultural, Biological and Environmental Statistics",Springer International Publishing,1085-7117	,1537-2693	,1996	,"http://www.springer.com/statistics/life+sciences,+medicine+%26+health/journal/13253",104	,B 
Journal of Air Law and Commerce,Southern Methodist University,0021-8642	,	,1930	,http://www.heinonline.org/,180105	,A 
Journal of Air Transport Management,Elsevier ,0969-6997	,1873-2089	,1994	,http://www.journals.elsevier.com/journal-of-air-transport-management,1507	,B 
Journal of Applied Accounting Research,,0967-5426	,1758-8855	,1992	,http://www.emeraldinsight.com/loi/jaar,1501	,C 
Journal of Applied Business and Economics,North Press Business Press ,1499-691X	,	,2003	,http://www.na-businesspress.com/jabeopen.html,1402	,C 
Journal of Applied Communication Research,Taylor & Francis Online,0090-9882	,1479-5752	,1973	,http://www.tandfonline.com/rjac,1503	,B 
Journal of Applied Corporate Finance,"John Wiley & Sons, Inc. ",1078-1196	,1745-6622	,1998	,"http://au.wiley.com/WileyCDA/WileyTitle/productCd-JACF,subjectCd-EC90.html",1502	,A 
Journal of Applied Econometrics,"John Wiley & Sons, Inc.",0883-7252	,1099-1255	,1986	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-JAE.html,1403	,A* 
Journal of Applied Economic Sciences,Spiru Haret University,1843-6110	,	,2006	,http://www.jaes.reprograph.ro/,1402	,C 
Journal of Applied Economics,Elsevier,1514-0326	,	,1998	,http://www.journals.elsevier.com/journal-of-applied-economics/,1402	,B 
"Journal of Applied Finance: theory, practice, education",Financial Management Association International (FMA),1534-6668	,	,1991	,http://www.fma.org/,1502	,C 
Journal of Applied Law and Policy,Curtin University ,1836-6953	,	,2008	,http://www.business.curtin.edu/business/jalap,180105	,C 
Journal of Applied Management Accounting Research,The Institute of Certified Management Accountants,1443-9905	,1443-9913	,2002	,"http://journals.indexcopernicus.com/The+Journal+of+Applied+Management+Accounting+Research,p5162,3.html",1501	,C 
Journal of Applied Management and Entrepreneurship,Nova Southeastern University,1077-1158	,1077-1158	,1994	,http://www.huizenga.nova.edu/jame/,1503	,C 
Journal of Applied Probability,Applied Probability Trust,0021-9002	,1475-6072	,1969	,https://projecteuclid.org/euclid.jap,104	,A 
Journal of Applied Psychology,American Psychological Association ,0021-9010	,1939-1854	,1917	,http://www.apa.org/journals/apl,1503	,A* 
Journal of Applied Research in Accounting and Finance,The University of Sydney Business School,1834-2582	,1834-2590	,2006	,http://www.econ.usyd.edu.au/research/journals/jaraf/,1501	,C 
Journal of Applied Social Psychology,"John Wiley & Sons, Inc.",0021-9029	,1559-1816	,1971	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-JASP.html,1503	,B 
Journal of Applied Sport Psychology,Taylor & Francis Online,1041-3200	,1533-1571	,1989	,http://www.tandfonline.com/uasp,1504	,A 
Journal of Applied Statistical Science,Nova Science Publishers ,1067-5817	,	,1993	,https://www.novapublishers.com/,104	,C 
Journal of Applied Statistics,Taylor & Francis Online,0266-4763	,1360-0532	,1975	,http://www.tandfonline.com/toc/cjas20/current#.V33nraKMz3U,104	,B 
Journal of Arts Management Law and Society,Taylor & Francis Online,1063-2921	,1930-7799	,	,http://www.tandfonline.com/loi/vjam20,1504	,C 
Journal of Asia Business Studies,Emerald Group Publishing Limited,1558-7894	,1559-2243	,2006	,http://www.emeraldinsight.com/journal/jabs,1503	,C 
Journal of Asia Entrepreneurship and Sustainability,Monash University,1176-8592	,1176-8592	,2005	,http://www.asiaentrepreneurshipjournal.com/,1503	,C 
Journal of Asia Pacific Business,Taylor & Francis Online,1059-9231	,1528-6940	,1993	,http://www.tandfonline.com/wapb,1503	,C 
Journal of Asian Business,University of Michigan,1068-0055	,1068-0055	,1983	,http://www.umich.edu/~cibe/faculty/jab.html,1503	,C 
Journal of Asian Economics,Elsevier ,1049-0078	,1873-7927	,1990	,http://www.journals.elsevier.com/journal-of-asian-economics,1499	,B 
Journal of Australian Political Economy,Australian Political Economy Movement ,0156-5826	,	,1977	,https://search.informit.com.au/browseJournalTitle;res=IELAPA;issn=0156-5826,1499	,B 
Journal of Australian Taxation,Monash University ,1440-0405	,	,1998	,http://www.buseco.monash.edu.au/,180125	,B 
Journal of Banking and Finance,Elsevier,0378-4266	,1872-6372	,1977	,http://www.journals.elsevier.com/journal-of-banking-and-finance/,1502	,A* 
Journal of Banking and Finance - Law and Practice,Thomson Reuters,1034-3040	,	,	,http://sites.thomsonreuters.com.au/journals/category/journal-of-banking-and-finance-law-and-practice/,180105	,A 
Journal of Banking Regulation,Springer International Publishing,1745-6452	,1750-2071	,1999	,http://www.springer.com/business+%26+management/finance/journal/41261,180105	,C 
Journal of Bankruptcy Law and Practice,"Warren, Gorham & Lamont, Inc.: Thomson Reuters",1059-048X	,	,1991	,http://www.gibsondunn.com/publications/Documents/WiseKelsey-ObtainingAdequateProtection.pdf,180105	,C 
Journal of Behavioral and Experimental Economics (formerly the Journal of Socio-Economics),Elsevier ,1053-5357	,1879-1239	,1972	,http://www.journals.elsevier.com/journal-of-socio-economics/,1402	,B 
Journal of Behavioral and Experimental Finance,Elsevier,2214-6350	,	,2014	,http://www.journals.elsevier.com/journal-of-behavioral-and-experimental-finance,1502	,B 
Journal of Behavioral Decision Making,"John Wiley & Sons, Inc.",0894-3257	,1099-0771	,1988	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-BDM.html,1503	,A 
Journal of Behavioral Finance,Taylor & Francis Online,1542-7560	,1542-7579	,2000	,http://www.tandfonline.com/hbhf,1502	,A 
Journal of Benefit-Cost Analysis,Walter de Gruyter GmbH,2152-2812	,	,2010	,http://www.degruyter.com/view/j/jbca,1499	,C 
Journal of Bioeconomics,Springer International Publishing,1387-6996	,1573-6989	,1999	,http://www.springerlink.com/,1499	,C 
Journal of Biopharmaceutical Statistics,Taylor & Francis Online,1054-3406	,1520-5711	,1991	,http://www.tandfonline.com/lbps,104	,C 
Journal of Brand Management,Springer International Publishing,1350-231X	,1479-1803	,1993	,http://www.springer.com/business+%26+management/journal/41262,1505	,A 
Journal of Business and Economic Perspectives,The University of Tennessee at Martin,1528-5014	,	,1975	,http://www.utm.edu/staff/hknox/journal/phase1.htm,1402	,C 
Journal of Business and Economic Statistics,Taylor & Francis Online,0735-0015	,1537-2707	,1983	,http://amstat.tandfonline.com/loi/jbes#.V3yV4aKMz3U,1403	,A* 
Journal of Business and Economic Studies,Northeast Business & Economics Association (NBEA),1063-343X	,8755-5123	,1974	,http://www.nbea.us/pb/wp_86d32b70/wp_86d32b70.html ,1402	,C 
Journal of Business and Economics Research,The Clute Institute ,1542-4448	,2157-8893	,2003	,http://www.cluteinstitute.com/journals/journal-of-business-economics-research-jber/,1402	,C 
Journal of Business and Industrial Marketing,Emerald Group Publishing,0885-8624	,	,1985	,http://www.emeraldinsight.com/loi/jbim,1505	,A 
Journal of Business and Leadership,Fort Hays State University,1559-3355	,1559-3355	,2006	,http://scholars.fhsu.edu/jbl/,1503	,C 
Journal of Business and Management,Chapman University ,1535-668X	,1535-668X	,1993	,http://www.chapman.edu/argyros/jbm/default.asp,1503	,C 
Journal of Business and Psychology,Springer International Publishing,0889-3268	,1573-353X	,1986	,http://springerlink.metapress.com/,1503	,A 
Journal of Business and Public Affairs (Murray),Murray State University,1522-8398	,1943-4626	,1975	,http://www.murraystate.edu/provost/catalogs/0406Grad/G04BPA.html,1503	,C 
Journal of Business and Technical Communication,Sage Publications,1050-6519	,1552-4574	,1987	,http://www.sagepub.com/,1503	,C 
Journal of Business Chemistry,Institute of Business Administration ,1613-9615	,1613-9623	,2004	,http://www.businesschemistry.org/,1503	,C 
Journal of Business Communication,Sage Publications,0021-9436	,1552-4582	,1963	,http://www.sagepub.com/,1503	,C 
Journal of Business Cycle Research (formerly Journal of Business Cycle Measurement and Analysis) ,Springer International Publishing,2509-7962	,2509-7970	,2004	,http://www.springer.com/economics/macroeconomics/journal/41549,1402	,B 
Journal of Business Economics and Management,Taylor & Francis Online,1611-1699	,2029-4433	,1999	,http://www.tandfonline.com/tbem,1402	,B 
Journal of Business Ethics,Springer International Publishing,0167-4544	,1573-0697	,1982	,http://www.springerlink.com,1503	,A 
Journal of Business Ethics Education,Senate Hall Ltd. ,1649-5195	,2044-4559	,2004	,http://www.senatehall.com/,1503	,B 
Journal of Business Finance and Accounting,"John Wiley & Sons, Inc.",0306-686X	,1468-5957	,1974	,http://www.wiley.com/,1501	,A 
Journal of Business Law,Sweet & Maxwell ,0021-9460	,	,1957	,http://www.sweetandmaxwell.co.uk/catalogue/productdetails.aspx?recordid=476,180105	,A 
Journal of Business Logistics,"John Wiley & Sons, Inc.",0735-3766	,2158-1592	,1978	,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2158-1592,1503	,A 
Journal of Business Market Management,Springer International Publishing,1864-0753	,1864-0761	,2007	,http://www.jbm-online.net/,1503	,B 
Journal of Business Research,Elsevier ,0148-2963	,	,1973	,http://www.journals.elsevier.com/journal-of-business-research/,1505	,A 
Journal of Business Strategy,Emerald Group Publishing,0275-6668	,0275-6668	,1980	,http://www.emeraldinsight.com/,1503	,B 
"Journal of Business Systems, Governance and Ethics",Victoria University,1833-4318	,1833-4318	,2006	,http://www.jbsge.vu.edu.au/,1503	,C 
Journal of Business Venturing,Elsevier,0883-9026	,1873-2003	,1985	,http://www.journals.elsevier.com/journal-of-business-venturing,1503	,A* 
Journal of Business-to-Business Marketing,Taylor & Francis Online,1051-712X	,1547-0628	,1993	,http://www.tandfonline.com/wbbm,1505	,B 
Journal of Career Assessment,Sage Publications,1069-0727	,1552-4590	,1993	,http://jca.sagepub.com/,1503	,A 
Journal of Career Development,Sage Publications,0894-8453	,1573-3548	,1972	,http://www.sagepub.com/,1503	,B 
Journal of Cases on Information Technology,IGI Global,1548-7717	,1548-7725	,1999	,http://www.igi-global.com/journal/journal-cases-information-technology-jcit/1075,806	,C 
Journal of Change Management,Taylor & Francis Online,1469-7017	,1479-1811	,2000	,http://www.tandfonline.com/rjcm,1503	,C 
Journal of China Tourism Research,Taylor & Francis Online,1938-8160	,1938-8179	,2005	,http://www.tandfonline.com/toc/wctr20/current,1506	,B 
Journal of Chinese Economic and Foreign Trade Studies,Emerald Group Publishing,1754-4408	,	,2008	,http://www.emeraldinsight.com/products/journals/journals.htm?id=JCEFTS,1499	,C 
Journal of Chinese Economics and Business Studies,Taylor & Francis Online,1476-5284	,1476-5292	,2003	,http://www.tandfonline.com/rcea,1402	,C 
Journal of Chinese Tax and Policy,The University of Sydney ,1839-065X	,	,2011	,http://sydney.edu.au/business/research/journals/,180125	,C 
Journal of Choice Modelling,Elsevier ,1755-5345	,	,2008	,http://www.journals.elsevier.com/journal-of-choice-modelling/,1401	,C 
Journal of Co-operative Studies,UK Society for Co-operative Studies,0961-5784	,	,1987	,http://ukscs.coop/journal,1503	,C 
Journal of Collective Negotiations,Baywood Publishing,0047-2301	,1541-4175	,1972	,http://www.baywood.com/,1503	,C 
Journal of Commodity Markets,Elsevier,2405-8513	,	,2015	,http://www.journals.elsevier.com/journal-of-commodity-markets,1502	,B 
Journal of Common Market Studies,"John Wiley & Sons, Inc.",0021-9886	,1468-5965	,1962	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-JCMS.html,1402	,B 
Journal of Communication,"John Wiley & Sons, Inc.",0021-9916	,1460-2466	,1951	,http://www.wiley.com/bw/journal.asp?ref=0021-9916,1503	,A 
Journal of Communication Management,Emerald Group Publishing,1363-254X	,1478-0852	,1996	,http://www.emeraldinsight.com/loi/jcom,1505	,B 
Journal of Community Informatics,Canadian Research Alliance for Community Innovation and Networking. ,	,1712-4441	,	,http://ci-journal.net/index.php/ciej,806	,B 
Journal of Comparative Economics,Elsevier ,0147-5967	,1095-7227	,1977	,http://www.journals.elsevier.com/journal-of-comparative-economics,1499	,A 
Journal of Comparative International Management,Management Futures,1481-0468	,1718-0864	,1998	,http://www.managementfutures.com/,1503	,C 
Journal of Comparative Policy Analysis: research and practice,Springer International Publishing,1387-6988	,1572-5448	,1999	,http://www.springerlink.com/,1599	,B 
Journal of Competition Law and Economics,Oxford University Press ,1744-6414	,1744-6422	,2005	,http://jcle.oxfordjournals.org/,1402	,B 
Journal of Computational and Graphical Statistics,Taylor & Francis Online,1061-8600	,1537-2715	,1992	,http://www.tandfonline.com/loi/ucgs20#.V4lxc1fwzBI,104	,A* 
Journal of Computational Finance,Incisive Risk Information Limited,1460-1559	,1755-2850	,1997	,http://www.journalofcomputationalfinance.com/,1502	,C 
Journal of Computer and System Sciences,Elsevier ,0022-0000	,1090-2724	,	,,806	,C 
Journal of Computer Information Systems,Taylor & Francis Online,0887-4417	,0022-0310	,1960	,http://www.tandfonline.com/loi/ucis20#.V32kcaKMz3U,806	,A 
Journal of Conflict Resolution: research on war and peace between and within nations,Sage Publications,0022-0027	,1552-8766	,1957	,http://jcr.sagepub.com/,1503	,A* 
Journal of Construction Accounting and Taxation,"Warren, Gorham & Lamont, Inc.: Thomson Reuters",1054-3007	,	,1991	,http://suncat.ac.uk/serials/SC00769184106/all?filters=fk_col_first_published_facet%3A2003&index=fk_col_subheadings&max=50&offset=0&operator=NONE&order=desc&origin=basic&position=29&q=Accounting+Periodicals&serialType=0&sort=score&totalMatches=170&typ,180125	,C 
Journal of Construction Engineering and Management,American Society of Civil Engineers,0733-9364	,1943-7862	,1873	,http://ascelibrary.org/journal/jcemd4,1504	,A* 
Journal of Construction Procurement,International Procurement Research Group,1358-9180	,	,1995	,http://researchprofiles.herts.ac.uk/portal/en/journals/journal-of-construction-procurement(3fbadd7a-4f4c-4da9-9d3a-a65f60b28770)/publications.html,1507	,C 
Journal of Construction Research,World Scientific Publishing ,1609-9451	,1793-687X	,2002	,http://www.worldscientific.com/worldscinet/jcr,1504	,C 
Journal of Constructivist Psychology,Taylor & Francis Online,1072-0537	,1521-0650	,1988	,http://www.tandfonline.com/upcy,1503	,B 
Journal of Consulting and Clinical Psychology,American Psychological Association ,0022-006X	,1939-2117	,1937	,http://csaweb114v.csa.com/,1503	,B 
Journal of Consumer Affairs,"John Wiley & Sons, Inc.",0022-0078	,1745-6606	,1967	,http://www.wiley.com/bw/journal.asp?ref=0022-0078,1505	,A 
Journal of Consumer Behaviour,"John Wiley & Sons, Inc.",1472-0817	,1479-1838	,2001	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-CB.html,1505	,B 
Journal of Consumer Marketing,Emerald Group Publishing,0736-3761	,	,1983	,http://www.emeraldinsight.com/journal/jcm,1505	,B 
"Journal of Consumer Policy: consumer issues in law, economics and behavioral sciences",Springer International Publishing,0168-7034	,1573-0700	,1977	,http://www.springerlink.com/,1402	,C 
Journal of Consumer Psychology,Elsevier,1057-7408	,1532-7663	,1992	,http://www.journals.elsevier.com/journal-of-consumer-psychology/,1505	,A 
Journal of Consumer Research,Oxford University Press ,0093-5301	,1537-5277	,1974	,http://jcr.oxfordjournals.org/,1505	,A* 
"Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior",University of Nevada,0899-8620	,	,1988	,https://faculty.unlv.edu/gnaylor/JCSDCB/,1505	,B 
Journal of Contemporary Accounting and Economics,Elsevier,1815-5669	,	,2005	,http://www.journals.elsevier.com/journal-of-contemporary-accounting-and-economics,1501	,A 
Journal of Contemporary Business Issues,Western Illinois University,1553-5347	,1553-5347	,1992	,http://www.worldcat.org/title/journal-of-contemporary-business-issues/oclc/27911789,1503	,C 
Journal of Contemporary Issues in Business and Government,Curtin University ,1323-6903	,1323-6903	,1995	,http://journals.sfu.ca/cibg/index.php/cibg/,1503	,C 
Journal of Contract Law,LexisNexis,1030-7230	,	,1988	,http://www.lexisnexis.com/au/legal/,180105	,A* 
Journal of Convention Event Tourism,Taylor & Francis Online,1547-0148	,1547-0156	,1998	,http://www.tandfonline.com/toc/wcet20/current,1506	,B 
Journal of Corporate Accounting and Finance,"John Wiley & Sons, Inc.",1044-8136	,1097-0053	,1979	,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0053,1501	,C 
Journal of Corporate Citizenship,Greenleaf Publishing ,1470-5001	,2051-4700	,2001	,http://www.greenleaf-publishing.com/,1503	,C 
Journal of Corporate Finance,Elsevier,0929-1199	,1872-6313	,1994	,http://www.journals.elsevier.com/journal-of-corporate-finance/,1502	,A* 
Journal of Corporate Law Studies,Taylor & Francis Online,1473-5970	,1757-8426	,2001	,http://www.tandfonline.com/loi/rcls20#.V3xJ-aKMz3U,180105	,A 
Journal of Corporate Real Estate,Emerald Group Publishing,1463-001X	,1479-1048	,1998	,http://www.emeraldinsight.com/,1504	,C 
Journal of Corporate Treasury Management,Henry Stewart Publications,1753-2574	,1753-2582	,2007	,http://www.henrystewart.com/jctm/index.html,1502	,C 
Journal of Corporation Law,University of Iowa,0360-795X	,	,1975	,https://jcl.law.uiowa.edu/ordering,180105	,B 
Journal of Credit Risk,Incisive Media Plc.,1744-6619	,1755-9723	,2004	,http://www.journalofcreditrisk.com/,1502	,C 
Journal of Cross-Cultural Psychology,Sage Publications,0022-0221	,1552-5422	,1970	,http://jcc.sagepub.com/,1503	,A 
Journal of Culinary Science and Technology,Taylor & Francis Online,1542-8052	,1542-8044	,1994	,http://www.tandfonline.com/loi/wcsc20#.V33zBaKMz3U,1504	,C 
Journal of Cultural Economics,Springer International Publishing,0885-2545	,1573-6997	,1977	,http://www.springerlink.com/,1402	,A 
Journal of Cultural Heritage Management and Sustainable Development ,Emerald Group Publishing LTD,2044-1266	,	,2011	,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=jchmsd ,1506	,C 
Journal of Current Issues and Research in Advertising,Taylor & Francis Online,1064-1734	,2164-7313	,1978	,http://www.tandfonline.com/loi/ujci20#.V33zGqKMz3U,1505	,C 
Journal of Customer Behavior,Westburn Publishers Ltd,1475-3928	,1477-6421	,2002	,http://www.westburnpublishers.com/,1505	,C 
Journal of Database Management,IGI Global,1063-8016	,1533-8010	,1990	,http://www.igi-global.com/journal/journal-database-management-jdm/1072,806	,B 
Journal of Database Marketing & Customer Strategy Management,Palgrave Macmillan ,1741-2439	,1741-2447	,	,http://www.springer.com/business+%26+management/journal/41270,1505	,C 
